,document_number,agency,action,due_date,
0,EO-14263,Attorney General,Suspend active security clearances held by individuals at Susman Godfrey LLP,Immediate,,,,,
1,EO-14263,Director of National Intelligence,Suspend active security clearances held by individuals at Susman Godfrey LLP,Immediate,,,,,
2,EO-14263,All relevant agency heads,Suspend active security clearances held by individuals at Susman Godfrey LLP,Immediate,,,,,
3,EO-14263,Office of Management and Budget,Identify all Government goods/property/material/services provided for the benefit of Susman Godfrey,Immediate,,,,,
4,EO-14263,All agencies providing material/services to Susman Godfrey,Cease provision of government goods/property/material/services to Susman Godfrey,Immediate,,,,,
5,EO-14263,Government contracting agencies,Require contractors to disclose business with Susman Godfrey,Immediate,,,,,
6,EO-14263,All agency heads,Review all contracts with Susman Godfrey or entities doing business with them,Immediate,,,,,
7,EO-14263,All agency heads,Take steps to terminate contracts where Susman Godfrey performs services,Immediate,,,,,
8,EO-14263,All agency heads,Submit assessment of contracts with Susman Godfrey and actions taken to OMB,2025-05-09,,,,,
9,EO-14263,All agency heads,Provide guidance limiting Susman Godfrey employees' access to Federal buildings,Immediate,,,,,
10,EO-14263,All agency heads,Provide guidance limiting Government employees' engagement with Susman Godfrey employees,Immediate,,,,,
11,EO-14263,All agency heads,Refrain from hiring Susman Godfrey employees without agency head waiver,Ongoing,,,,,
0,EO-14264,Department of Energy,Publish notice in Federal Register rescinding Energy Conservation Program: Definition of Showerhead (86 Fed. Reg. 71797),2025-05-15,,,,,
0,EO-14265,Department of Defense,Submit plan to reform acquisition processes to the President,2025-06-08,,,,,
1,EO-14265,Department of Defense,Prioritize use of expedited acquisition authorities in all pending contracting actions,Ongoing,,,,,
2,EO-14265,Department of Defense,Review and propose revisions to relevant DoD instructions and regulations relating to acquisition,Ongoing,,,,,
3,EO-14265,Department of Defense,Develop and submit plan to reform acquisition workforce to the President,2025-08-07,,,,,
4,EO-14265,Department of Defense,Complete comprehensive review of all major defense acquisition programs (MDAPs),2025-07-08,,,,,
5,EO-14265,Department of Defense,Submit potential MDAP cancellation list to OMB Director,2025-07-08,,,,,
6,EO-14265,Department of Defense,Provide listing of all MDAP contracts with performance metrics to OMB Director,2025-07-08,,,,,
7,EO-14265,Department of Defense,Provide plan to OMB for reviewing all remaining major systems that are not MDAPs,2025-07-08,,,,,
8,EO-14265,Department of Defense,Complete comprehensive review of Joint Capabilities Integration and Development System,2025-10-06,,,,,
9,EO-14265,Under Secretary of Defense for Acquisition and Sustainment,Establish field training teams for innovative acquisition authorities,2025-08-07,,,,,
0,EO-14266,Department of Commerce,Implement and effectuate tariff modifications including suspension of country-specific ad valorem rates and increase of PRC tariffs,2025-04-10,,,,,
1,EO-14266,Department of Homeland Security,Implement and effectuate tariff modifications including suspension of country-specific ad valorem rates and increase of PRC tariffs,2025-04-10,,,,,
2,EO-14266,United States Trade Representative,Implement and effectuate tariff modifications including suspension of country-specific ad valorem rates and increase of PRC tariffs,2025-04-10,,,,,
3,EO-14266,Department of Commerce,Implement increase of de minimis tariff rate from 90% to 120% for PRC imports,2025-04-10,,,,,
4,EO-14266,Department of Homeland Security,Implement increase of de minimis tariff rate from 90% to 120% for PRC imports,2025-04-10,,,,,
5,EO-14266,United States Trade Representative,Implement increase of de minimis tariff rate from 90% to 120% for PRC imports,2025-04-10,,,,,
6,EO-14266,Department of Commerce,Implement increase of per postal item duty from $75 to $100,2025-05-02,,,,,
7,EO-14266,Department of Homeland Security,Implement increase of per postal item duty from $75 to $100,2025-05-02,,,,,
8,EO-14266,United States Trade Representative,Implement increase of per postal item duty from $75 to $100,2025-05-02,,,,,
9,EO-14266,Department of Commerce,Implement increase of per postal item duty from $150 to $200,2025-06-01,,,,,
10,EO-14266,Department of Homeland Security,Implement increase of per postal item duty from $150 to $200,2025-06-01,,,,,
11,EO-14266,United States Trade Representative,Implement increase of per postal item duty from $150 to $200,2025-06-01,,,,,
12,EO-14266,All Agencies,End of 90-day suspension period for country-specific ad valorem rates of duty,2025-07-09,,,,,
0,EO-14268,State and Defense,Implement National Security Presidential Memorandum 10 of April 19 2018,Ongoing,,,,,
1,EO-14268,State and Defense,Reevaluate restrictions imposed by the Missile Technology Control Regime on Category I items,Ongoing,,,,,
2,EO-14268,State and Defense,Submit joint letter to Congress proposing update to statutory congressional certification thresholds,Ongoing,,,,,
3,EO-14268,State,Work with Congress to review congressional notification processes,Ongoing,,,,,
4,EO-14268,State,Develop list of priority partners for conventional arms transfers,2025-06-08,,,,,
5,EO-14268,State,Issue updated guidance to Chiefs of US Diplomatic Missions regarding priority partners list,2025-06-08,,,,,
6,EO-14268,Defense,Develop list of priority end-items for potential transfer to priority partners,2025-06-08,,,,,
7,EO-14268,Defense,Ensure transfer of priority end-items would not harm US force readiness,2025-06-08,,,,,
8,EO-14268,Defense,Ensure transfer of priority end-items advances allied burden-sharing,2025-06-08,,,,,
9,EO-14268,State and Defense,Review update and reissue lists of priority partners and military end-items,Ongoing,,,,,
10,EO-14268,State and Defense,Review and update the FMS-Only List and United States Munitions List,Ongoing,,,,,
11,EO-14268,State and Defense,Establish clear criteria for including items on the FMS-Only List,Ongoing,,,,,
12,EO-14268,State and Defense,Submit plan to improve transparency of US defense sales to foreign partners,2025-07-08,,,,,
13,EO-14268,Defense,Submit plan to develop single electronic system to track all DCS export license requests and FMS efforts,2025-08-07,,,,,
0,EO-14269,APNSA,Submit Maritime Action Plan (MAP) to the President,2025-11-05,,,,,
1,EO-14269,DOD,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,,,,
2,EO-14269,DOC,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,,,,
3,EO-14269,DOT,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,,,,
4,EO-14269,DHS,Provide assessment of options for Maritime Industrial Base investment to APNSA and OMB,2025-10-06,,,,,
5,EO-14269,USTR,Coordinate with agencies to collect information for Section 301 actions against PRC,Ongoing,,,,,
6,EO-14269,USTR,Coordinate with DOJ and DHS to enforce restrictions from Section 301 actions,Ongoing,,,,,
7,EO-14269,USTR,Consider tariffs on PRC ship-to-shore cranes and cargo handling equipment,Ongoing,,,,,
8,EO-14269,DHS,Take steps to require foreign-origin cargo to clear CBP at US ports of entry,Ongoing,,,,,
9,EO-14269,DHS,Ensure assessment of HMF and other charges on cargo arriving via Canada/Mexico,Ongoing,,,,,
10,EO-14269,USTR,Engage allies on trade policies related to maritime sectors,2025-07-08,,,,,
11,EO-14269,USTR,Deliver engagement plan and progress report to the President,2025-07-08,,,,,
12,EO-14269,DOC,Recommend incentives for allied shipbuilders to invest in US,2025-07-08,,,,,
13,EO-14269,OMB,Develop legislative proposal for Maritime Security Trust Fund,Ongoing,,,,,
14,EO-14269,DOT,Submit legislative proposal for shipbuilding financial incentives program,Ongoing,,,,,
15,EO-14269,DOC,Deliver plan for maritime prosperity zones,2025-07-08,,,,,
16,EO-14269,DOT,Deliver report on maritime industry needs,2025-07-08,,,,,
17,EO-14269,DOS,Deliver report on mariner training and education,2025-07-08,,,,,
18,EO-14269,DOD,Deliver report on mariner training and education,2025-07-08,,,,,
19,EO-14269,DOL,Deliver report on mariner training and education,2025-07-08,,,,,
20,EO-14269,DOT,Deliver report on mariner training and education,2025-07-08,,,,,
21,EO-14269,ED,Deliver report on mariner training and education,2025-07-08,,,,,
22,EO-14269,DHS,Deliver report on mariner training and education,2025-07-08,,,,,
23,EO-14269,DOS,Deliver legislative proposal for maritime education,Ongoing,,,,,
24,EO-14269,DOD,Deliver legislative proposal for maritime education,Ongoing,,,,,
25,EO-14269,DOL,Deliver legislative proposal for maritime education,Ongoing,,,,,
26,EO-14269,DOT,Deliver legislative proposal for maritime education,Ongoing,,,,,
27,EO-14269,ED,Deliver legislative proposal for maritime education,Ongoing,,,,,
28,EO-14269,DHS,Deliver legislative proposal for maritime education,Ongoing,,,,,
29,EO-14269,DOT,Hire facilities staff and reprogram resources for USMMA maintenance,2025-05-09,,,,,
30,EO-14269,DOT,Finalize long-term master facilities plan for USMMA modernization,Ongoing,,,,,
31,EO-14269,DOT,Submit 5-year capital improvement plan for USMMA,Ongoing,,,,,
32,EO-14269,DOD,Develop proposal for improved vessel acquisition strategies,2025-07-08,,,,,
33,EO-14269,DOC,Develop proposal for improved vessel acquisition strategies,2025-07-08,,,,,
34,EO-14269,DOT,Develop proposal for improved vessel acquisition strategies,2025-07-08,,,,,
35,EO-14269,DHS,Develop proposal for improved vessel acquisition strategies,2025-07-08,,,,,
36,EO-14269,NSF,Develop proposal for improved vessel acquisition strategies,2025-07-08,,,,,
37,EO-14269,Department of Government Efficiency,Review DOD and DHS vessel procurement processes,2025-07-08,,,,,
38,EO-14269,DOT,Deliver legislative proposal to increase US-flagged commercial vessels,2025-10-06,,,,,
39,EO-14269,DOD,Develop strategy for Arctic waterways security,2025-07-08,,,,,
40,EO-14269,DOD,Conduct shipbuilding review and submit report,2025-05-24,,,,,
41,EO-14269,DOC,Conduct shipbuilding review and submit report,2025-05-24,,,,,
42,EO-14269,DOT,Conduct shipbuilding review and submit report,2025-05-24,,,,,
43,EO-14269,DHS,Conduct shipbuilding review and submit report,2025-05-24,,,,,
44,EO-14269,DOD,Review regulations for deregulatory opportunities,2025-05-09,,,,,
45,EO-14269,DOT,Review regulations for deregulatory opportunities,2025-05-09,,,,,
46,EO-14269,DHS,Review regulations for deregulatory opportunities,2025-05-09,,,,,
47,EO-14269,DOD,Conduct review and issue guidance on inactive reserve fleet,2025-07-08,,,,,
0,EO-14270,EPA,Submit list of statutes subject to the order to the President through OMB,2025-05-09,,,,,
1,EO-14270,ACE,Submit list of statutes subject to the order to the President through OMB,2025-05-09,,,,,
2,EO-14270,EPA,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
3,EO-14270,DoE,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
4,EO-14270,FERC,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
5,EO-14270,NRC,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
6,EO-14270,OSMRE,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
7,EO-14270,BLM,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
8,EO-14270,BOEM,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
9,EO-14270,BSEE,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
10,EO-14270,FWS,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
11,EO-14270,ACE,Issue sunset rule for all Covered Regulations,2025-09-30,,,,,
12,EO-14270,All Covered Agencies,Offer public comment opportunity on costs and benefits of each regulation before expiration,Ongoing,,,,,
13,EO-14270,All Covered Agencies,Coordinate with DOGE Team Leads and OMB to implement the order,Ongoing,,,,,
14,EO-14270,All Covered Agencies,Include Conditional Sunset Date in any new Covered Regulation,Ongoing,,,,,
0,EO-14259,Commerce,Implement and effectuate tariff increases and de minimis changes,2025-04-09,,,,,
1,EO-14259,Homeland Security,Implement and effectuate tariff increases and de minimis changes,2025-04-09,,,,,
2,EO-14259,United States Trade Representative,Implement and effectuate tariff increases and de minimis changes,2025-04-09,,,,,
3,EO-14259,All Executive Departments and Agencies,Take all appropriate measures within authority to implement the order,Ongoing,,,,,
4,EO-14259,Customs and Border Protection,Implement 84% tariff on goods from China,2025-04-09,,,,,
5,EO-14259,Customs and Border Protection,Implement 90% ad valorem duty rate on de minimis imports from China,2025-05-02,,,,,
6,EO-14259,Customs and Border Protection,Implement $75 per postal item duty on de minimis imports from China,2025-05-02,,,,,
7,EO-14259,Customs and Border Protection,Increase per postal item duty to $150 on de minimis imports from China,2025-06-01,,,,,
0,EO-14260,Department of Justice,Identify state and local laws burdening domestic energy resources that may be unconstitutional or preempted by federal law,2025-06-07,,,,,
1,EO-14260,Department of Justice,Take appropriate action to stop enforcement of identified illegal state laws,Ongoing,,,,,
2,EO-14260,Department of Justice,Submit report to the President regarding actions taken and recommend additional Presidential or legislative action,2025-06-07,,,,,
0,EO-14261,NEDC Chair,"Designate coal as a ""mineral"" under Executive Order 14241",Immediate,,,,,
1,EO-14261,Department of Interior,Submit consolidated report identifying coal resources and reserves on Federal lands with impediments and policy proposals,2025-06-07,,,,,
2,EO-14261,Department of Agriculture,Submit consolidated report identifying coal resources and reserves on Federal lands with impediments and policy proposals,2025-06-07,,,,,
3,EO-14261,Department of Energy,Submit consolidated report identifying coal resources and reserves on Federal lands with impediments and policy proposals,2025-06-07,,,,,
4,EO-14261,Department of Energy,Include analysis of impact of coal resources on electricity costs and grid reliability in consolidated report,2025-06-07,,,,,
5,EO-14261,Department of Interior,Prioritize coal leasing and related activities on Federal lands,Ongoing,,,,,
6,EO-14261,Department of Agriculture,Prioritize coal leasing and related activities on Federal lands,Ongoing,,,,,
7,EO-14261,Department of Interior,"Publish notice in Federal Register terminating the ""Environmental Impact Statement Analyzing the Potential Environmental Effects from Maintaining Secretary Jewell's Coal Leasing Moratorium""",Immediate,,,,,
8,EO-14261,Department of Interior,Process royalty rate reduction applications from Federal coal lessees expeditiously,Ongoing,,,,,
9,EO-14261,Environmental Protection Agency,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,,,,
10,EO-14261,Department of Transportation,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,,,,
11,EO-14261,Department of Interior,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,,,,
12,EO-14261,Department of Energy,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,,,,
13,EO-14261,Department of Labor,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,,,,
14,EO-14261,Department of Treasury,Identify guidance/regulations/programs/policies that seek to transition away from coal,2025-05-08,,,,,
15,EO-14261,All relevant agencies,Consider revising or rescinding Federal actions identified that transition away from coal,2025-06-07,,,,,
16,EO-14261,All relevant agencies,Rescind policies/regulations that discourage investment in coal production and coal-fired electricity generation,Immediate,,,,,
17,EO-14261,Department of State,Review materials to ensure they don't discourage financing coal mining and electricity generation projects,2025-05-08,,,,,
18,EO-14261,Department of Agriculture,Review materials to ensure they don't discourage financing coal mining and electricity generation projects,2025-05-08,,,,,
19,EO-14261,Department of Commerce,Review materials to ensure they don't discourage financing coal mining and electricity generation projects,2025-05-08,,,,,
20,EO-14261,Department of Energy,Review materials to ensure they don't discourage financing coal mining and electricity generation projects,2025-05-08,,,,,
21,EO-14261,International Development Finance Corporation,Review materials to ensure they don't discourage financing coal mining and electricity generation projects,2025-05-08,,,,,
22,EO-14261,Export-Import Bank,Review materials to ensure they don't discourage financing coal mining and electricity generation projects,2025-05-08,,,,,
23,EO-14261,All relevant agencies,Eliminate identified preferences against coal use,Immediate,,,,,
