,title,document_number,html_url,agencies,categories
0,Addressing Risks From Susman Godfrey, 2025-06458,https://www.federalregister.gov/documents/2025/04/15/2025-06458/addressing-risks-from-susman-godfrey,[],[]
1,Maintaining Acceptable Water Pressure in Showerheads, 2025-06459,https://www.federalregister.gov/documents/2025/04/15/2025-06459/maintaining-acceptable-water-pressure-in-showerheads,[],[]
2,Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base, 2025-06461,https://www.federalregister.gov/documents/2025/04/15/2025-06461/modernizing-defense-acquisitions-and-spurring-innovation-in-the-defense-industrial-base,[],[]
3,Modifying Reciprocal Tariff Rates To Reflect Trading Partner Retaliation and Alignment, 2025-06462,https://www.federalregister.gov/documents/2025/04/15/2025-06462/modifying-reciprocal-tariff-rates-to-reflect-trading-partner-retaliation-and-alignment,[],[]
4,Reducing Anti-Competitive Regulatory Barriers, 2025-06463,https://www.federalregister.gov/documents/2025/04/15/2025-06463/reducing-anti-competitive-regulatory-barriers,[],[]
5,Reforming Foreign Defense Sales To Improve Speed and Accountability, 2025-06464,https://www.federalregister.gov/documents/2025/04/15/2025-06464/reforming-foreign-defense-sales-to-improve-speed-and-accountability,[],[]
6,Restoring America's Maritime Dominance, 2025-06465,https://www.federalregister.gov/documents/2025/04/15/2025-06465/restoring-americas-maritime-dominance,[],[]
7,Zero-Based Regulatory Budgeting To Unleash American Energy, 2025-06466,https://www.federalregister.gov/documents/2025/04/15/2025-06466/zero-based-regulatory-budgeting-to-unleash-american-energy,[],[]
8,Amendment to Reciprocal Tariffs and Updated Duties as Applied to Low-Value Imports From the People's Republic of China, 2025-06378,https://www.federalregister.gov/documents/2025/04/14/2025-06378/amendment-to-reciprocal-tariffs-and-updated-duties-as-applied-to-low-value-imports-from-the-peoples,[],[]
9,Protecting American Energy From State Overreach, 2025-06379,https://www.federalregister.gov/documents/2025/04/14/2025-06379/protecting-american-energy-from-state-overreach,[],[]
10,Reinvigorating America's Beautiful Clean Coal Industry and Amending Executive Order 14241, 2025-06380,https://www.federalregister.gov/documents/2025/04/14/2025-06380/reinvigorating-americas-beautiful-clean-coal-industry-and-amending-executive-order-14241,[],[]
11,Strengthening the Reliability and Security of the United States Electric Grid, 2025-06381,https://www.federalregister.gov/documents/2025/04/14/2025-06381/strengthening-the-reliability-and-security-of-the-united-states-electric-grid,[],[]
12,Extending the TikTok Enforcement Delay, 2025-06162,https://www.federalregister.gov/documents/2025/04/09/2025-06162/extending-the-tiktok-enforcement-delay,[],[]
13,Further Amendment to Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China as Applied to Low-Value Imports, 2025-06027,https://www.federalregister.gov/documents/2025/04/07/2025-06027/further-amendment-to-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of,[],[]
14,Regulating Imports With a Reciprocal Tariff To Rectify Trade Practices That Contribute to Large and Persistent Annual United States Goods Trade Deficits, 2025-06063,https://www.federalregister.gov/documents/2025/04/07/2025-06063/regulating-imports-with-a-reciprocal-tariff-to-rectify-trade-practices-that-contribute-to-large-and,[],[]
15,Addressing Risks From WilmerHale, 2025-05845,https://www.federalregister.gov/documents/2025/04/03/2025-05845/addressing-risks-from-wilmerhale,[],[]
16,Exclusions From Federal Labor-Management Relations Programs, 2025-05836,https://www.federalregister.gov/documents/2025/04/03/2025-05836/exclusions-from-federal-labor-management-relations-programs,[],[]
17,Making the District of Columbia Safe and Beautiful, 2025-05837,https://www.federalregister.gov/documents/2025/04/03/2025-05837/making-the-district-of-columbia-safe-and-beautiful,[],[]
18,Restoring Truth and Sanity to American History, 2025-05838,https://www.federalregister.gov/documents/2025/04/03/2025-05838/restoring-truth-and-sanity-to-american-history,[],[]
19,Combating Unfair Practices in the Live Entertainment Market, 2025-05906,https://www.federalregister.gov/documents/2025/04/03/2025-05906/combating-unfair-practices-in-the-live-entertainment-market,[],[]
