,document_number,agency,action,due_date,document_number_bridge_blank,document_number_bridge
0,EO-14263,Attorney General,Suspend active security clearances held by individuals at Susman Godfrey LLP,Immediate,,2025-06458,,,,
1,EO-14263,Director of National Intelligence,Suspend active security clearances held by individuals at Susman Godfrey LLP,Immediate,,2025-06458,,,,
2,EO-14263,All relevant agency heads,Suspend active security clearances held by individuals at Susman Godfrey LLP,Immediate,,2025-06458,,,,
3,EO-14263,Office of Management and Budget,Identify all Government goods/property/material/services provided for the benefit of Susman Godfrey,Immediate,,2025-06458,,,,
4,EO-14263,All agencies providing material/services to Susman Godfrey,Cease provision of government goods/property/material/services to Susman Godfrey,Immediate,,2025-06458,,,,
5,EO-14263,Government contracting agencies,Require contractors to disclose business with Susman Godfrey,Immediate,,2025-06458,,,,
6,EO-14263,All agency heads,Review all contracts with Susman Godfrey or entities doing business with them,Immediate,,2025-06458,,,,
7,EO-14263,All agency heads,Take steps to terminate contracts where Susman Godfrey performs services,Immediate,,2025-06458,,,,
8,EO-14263,All agency heads,Submit assessment of contracts with Susman Godfrey and actions taken to OMB,2025-05-09,,2025-06458,,,,
9,EO-14263,All agency heads,Provide guidance limiting Susman Godfrey employees' access to Federal buildings,Immediate,,2025-06458,,,,
10,EO-14263,All agency heads,Provide guidance limiting Government employees' engagement with Susman Godfrey employees,Immediate,,2025-06458,,,,
11,EO-14263,All agency heads,Refrain from hiring Susman Godfrey employees without agency head waiver,Ongoing,,2025-06458,,,,
0,EO-14264,Department of Energy,Publish notice in Federal Register rescinding Energy Conservation Program: Definition of Showerhead (86 Fed. Reg. 71797),2025-05-09,,2025-06459,,,,
0,EO-14265,Department of Defense,Submit plan to reform acquisition processes to the President,2025-06-08,,2025-06461,,,,
1,EO-14265,Department of Defense,Prioritize use of expedited acquisition authorities in all pending contracting actions,Ongoing,,2025-06461,,,,
2,EO-14265,Department of Defense,Review and propose revisions to relevant DoD instructions and regulations relating to acquisition,Ongoing,,2025-06461,,,,
3,EO-14265,Department of Defense,Develop and submit plan to reform acquisition workforce to the President,2025-08-07,,2025-06461,,,,
4,EO-14265,Department of Defense,Complete comprehensive review of all major defense acquisition programs (MDAPs),2025-07-08,,2025-06461,,,,
5,EO-14265,Department of Defense,Submit potential MDAP cancellation list to OMB Director,2025-07-08,,2025-06461,,,,
6,EO-14265,Department of Defense,Provide listing of all MDAP contracts with performance metrics to OMB Director,2025-07-08,,2025-06461,,,,
7,EO-14265,Department of Defense,Provide plan to OMB for reviewing all remaining major systems that are not MDAPs,2025-07-08,,2025-06461,,,,
8,EO-14265,Department of Defense,Complete comprehensive review of Joint Capabilities Integration and Development System,2025-10-06,,2025-06461,,,,
9,EO-14265,Under Secretary of Defense for Acquisition and Sustainment,Establish field training teams for innovative acquisition authorities,2025-08-07,,2025-06461,,,,
0,EO-14266,Department of Commerce,Implement and effectuate tariff modifications including suspension of country-specific ad valorem rates,2025-04-10,,2025-06462,,,,
1,EO-14266,Department of Homeland Security,Implement and effectuate tariff modifications including suspension of country-specific ad valorem rates,2025-04-10,,2025-06462,,,,
2,EO-14266,United States Trade Representative,Implement and effectuate tariff modifications including suspension of country-specific ad valorem rates,2025-04-10,,2025-06462,,,,
3,EO-14266,Department of Commerce,Amend HTSUS heading 9903.01.25 with new article description,2025-04-10,,2025-06462,,,,
4,EO-14266,Department of Commerce,Amend HTSUS heading 9903.01.63 to increase duty rate from 84% to 125%,2025-04-10,,2025-06462,,,,
5,EO-14266,Department of Commerce,Amend subdivision (v)(xiii)(10) of U.S. note 2 to subchapter III of chapter 99 of the HTSUS,2025-04-10,,2025-06462,,,,
6,EO-14266,Department of Commerce,Suspend HTSUS headings 9903.01.43-9903.01.62 and 9903.01.64-9903.01.76 for 90 days,2025-04-10,,2025-06462,,,,
7,EO-14266,Department of Commerce,Suspend subdivisions (v)(xiii)(i)-(ix) and (xi)-(lvii) of U.S. note 2 to subchapter III of chapter 99 of the HTSUS for 90 days,2025-04-10,,2025-06462,,,,
8,EO-14266,Department of Commerce,Increase ad valorem rate of duty from 90% to 120% for certain imports from China,2025-04-10,,2025-06462,,,,
9,EO-14266,Department of Commerce,Increase per postal item duty from $75 to $100 for certain imports from China,2025-05-02,,2025-06462,,,,
10,EO-14266,Department of Commerce,Increase per postal item duty from $150 to $200 for certain imports from China,2025-06-01,,2025-06462,,,,
11,EO-14266,Department of Commerce,Resume enforcement of country-specific ad valorem rates of duty after 90-day suspension,2025-07-09,,2025-06462,,,,
0,EO-14268,State and Defense,Implement National Security Presidential Memorandum 10 of April 19 2018,Ongoing,,2025-06464,,,,
1,EO-14268,State and Defense,Reevaluate restrictions imposed by the Missile Technology Control Regime on Category I items,Ongoing,,2025-06464,,,,
2,EO-14268,State and Defense,Submit joint letter to Congress proposing update to statutory congressional certification thresholds,Ongoing,,2025-06464,,,,
3,EO-14268,State,Work with Congress to review congressional notification processes,Ongoing,,2025-06464,,,,
4,EO-14268,State,Develop list of priority partners for conventional arms transfers,2025-06-08,,2025-06464,,,,
